date,time,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,consent,self_1,self_2,self_3,self_4,self_5,self_6,self_7,self_8,self_timing_first_click,self_timing_last_click,self_timing_page_submit,self_timing_click_count,stereotype_1,stereotype_2,stereotype_3,stereotype_4,stereotype_5,stereotype_6,stereotype_7,stereotype_8,stereotype_timing_first_click,stereotype_timing_last_click,stereotype_timing_page_submit,stereotype_timing_click_count,sci_fi,vacation,scary_movie,sports,outdoor_art,food,robert_1,robert_2,robert_3,robert_4,robert_5,robert_6,robert_7,robert_8,rob_timing_first_click,rob_timing_last_click,rob_timing_page_submit,rob_timing_click_count,imp_gw,worried_gw,harm_personally,harm_future_gen,why_advocacy,feedback_ccl,age,fam_inc,gender,gender_5_text,race,race_6_text,race_7_text,ideology,dem_rep,dem_rep_4_text,dem_strong_weak,rep_strong_weak,closer_dem_rep,use_data,use_data_no,group,duration_in_minutes
2021-03-12,14:00:34,2021-03-12 14:05:36,IP Address,72.194.209.61,100,301,True,2021-03-12 14:05:36,R_3e2HW1XRAHaDuSv,NA,NA,NA,NA,34.44500732421875,-119.804595947265625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",5,7,1,4,2,8,6,3,0,0,17.47,0,1,3,6,7,8,4,2,5,0,0,19.192,0,Yes,Adventurous,Yes,No,Camping,Savory,2,5,1,7,8,4,3,6,0,0,17.391,0,Extremely important,Very worried,NA,A great deal,NA,This is David - a test. Don't use this data.,48,"Over $150,000",Male,NA,White / Caucasian,NA,NA,Very conservative,Democrat,NA,Not Very Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,5.016666666666667
2021-03-12,18:17:17,2021-03-12 18:37:03,IP Address,66.60.127.50,100,1185,True,2021-03-12 18:37:03,R_3nrwaJSOSG8CL9I,NA,NA,NA,NA,40.7610931396484375,-111.900299072265625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",6,8,5,7,3,4,1,2,70.543,80.868,124.965,4,3,1,2,7,5,4,8,6,0,0,167.923,0,Yes,Relaxing,No,No,Staying in and watching TV shows,Sweet,4,3,2,8,1,5,7,6,0,0,82.06,0,Extremely important,Very worried,A great deal,A great deal,It is clearly the most important issue of our generation and we're not making progress fast enough.,CCL is far too concerned with bipartisan solutions. What that really means is that we are failing to advocate for necessary solutions and we end up pandering to Republicans who acknowledge climate change but refuse to do anything about it. We should not be making bipartisanship a higher priority than climate solutions. Climate solutions are more important than bipartisanship. Bipartisanship must be relegated to a means to an end and not an end in and of itself.,56,"$50,001 - $75,000",Male,NA,White / Caucasian,NA,NA,Very liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Similar,19.75
2021-03-16,07:02:40,2021-03-16 07:12:46,IP Address,184.170.166.79,100,605,True,2021-03-16 07:12:46,R_8B4dktCcA1Un0nT,NA,NA,NA,NA,40.03460693359375,-86.9069976806640625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",5,8,6,7,2,3,1,4,0,0,79.951,0,4,1,2,3,5,6,7,8,0,0,57.372,0,Yes,Adventurous,Yes,No,Camping,Sweet,4,3,5,6,2,1,7,8,0,0,34.132,0,Extremely important,Very worried,A great deal,A great deal,"'-I wanted to channel a growing sense of anxiety about the climate into some sort of action
-I felt guilty about my personal responsibility as a consumer and a citizen, and wanted to atone for that
-I didn't feel that leaders were going to do anything without being prodded by citizens, and I wanted to be a part of that

In short, anxiety, guilt, and fear, and buried underneath that, the desire to be a better citizen (although that's kind of tied to the guilt).

","Yes, it's a very welcoming space. I'm glad to have CCL as an outlet to get involved in the battle against the climate crisis, and I'm glad to have a community of people who feel the same as I do about the urgency of the crisis.",34,"Over $150,000",Male,NA,White / Caucasian,NA,NA,Very liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,10.083333333333334
2021-03-16,07:05:23,2021-03-16 07:15:54,IP Address,174.84.159.165,100,630,True,2021-03-16 07:15:54,R_3ESDutUXrWt3ype,NA,NA,NA,NA,44.6945953369140625,-85.6865997314453125,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",6,7,5,4,8,3,2,1,0,0,68.357,0,5,6,2,1,7,3,8,4,0,0,63.182,0,Yes,Relaxing,No,Yes,Camping,Savory,4,5,2,1,7,3,8,6,0,0,58.992,0,Extremely important,Very worried,A moderate amount,A great deal,"I can't stand the idea that we are willfully allowing our climate to change with ecosystems collapsing and untold and unpredictable impacts on society, especially the most vulnerable. CCL give me a productive outlet to work on this.",It's the best volunteer organization I have ever been a part of (among dozens). They provide a great structure and approach and then allow volunteers huge latitude to creatively develop approaches that fit them and their communities.,53,"Over $150,000",Male,NA,White / Caucasian,NA,NA,Moderate,Democrat,NA,Not Very Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Similar,10.5
2021-03-16,07:02:05,2021-03-16 07:18:00,IP Address,35.130.83.19,100,954,True,2021-03-16 07:18:00,R_10Mfd4uFtcTTj2w,NA,NA,NA,NA,46.500701904296875,-87.5829010009765625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",5,8,7,6,4,1,2,3,0,0,161.741,0,4,1,2,3,6,7,5,8,0,0,73.67,0,No,Adventurous,No,No,Camping,Savory,3,2,7,6,1,4,8,5,57.878,122.284,136.466,3,Extremely important,Very worried,A moderate amount,A great deal,"'- The policy really clicked for me: Finally, something that could actually work!
- CCL gives individuals a great deal of power to get things done
- I really liked the way they bring people together from all the environmental orgs to business, and get them all to say YES to climate solutions. Then they use that to lobby Washington, perfect!","Certainly, I value the organization and my time as a volunteer and intern highly. one bit of feedback i have is about CCL community. i know it was upgraded, but it's still kind of a clunky platform. i could come up with some specific improvements that could be made, but I'm not sure that it's really worth the money/time. Let's see how this summer's climate package goes in DC. We have a lot of work to do between now and then!",31,"$15,001 - $25,000",Male,NA,White / Caucasian,NA,NA,Liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Similar,15.9
2021-03-16,06:59:29,2021-03-16 07:18:32,IP Address,12.187.102.133,100,1142,True,2021-03-16 07:18:32,R_3MagxAi1S2UhCFe,NA,NA,NA,NA,40.145599365234375,-74.21469879150390625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",4,8,5,7,6,3,1,2,7.619,170.355,172.017,10,3,1,2,4,7,6,5,8,13.607,95.46,96.759,4,No,Adventurous,No,No,Camping,Sweet,1,2,3,7,6,5,4,8,3.824,99.119,100.154,3,Extremely important,Very worried,A great deal,A great deal,"I think political action on the topic is very important, not just on the Federal level, but perhaps even more so on a local level.   I like the local effort and ""bubble up"" approach from local editorials and township  educational efforts.",I have not been too involved....I find the group a bit intimidating.,59,"Over $150,000",Male,NA,White / Caucasian,NA,NA,Moderate,Independent,NA,NA,NA,Closer to Democratic Party,"Yes, you can use my data.",NA,Similar,19.033333333333335
2021-03-16,07:11:43,2021-03-16 07:18:38,IP Address,73.14.40.220,100,415,True,2021-03-16 07:18:39,R_NXEks5V0xapblkd,NA,NA,NA,NA,40.5446929931640625,-105.106903076171875,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",2,6,1,7,4,5,3,8,0,0,60.411,0,4,2,1,3,5,6,7,8,0,0,31.316,0,Yes,Adventurous,No,No,Camping,Savory,3,4,2,1,7,5,6,8,0,0,40.153,0,Very important,Very worried,A moderate amount,A great deal,NA,NA,61,"Over $150,000",Male,NA,White / Caucasian,NA,NA,Moderate,Independent,NA,NA,NA,Closer to Democratic Party,"Yes, you can use my data.",NA,Different,6.916666666666667
2021-03-16,07:03:51,2021-03-16 07:20:38,IP Address,134.56.150.29,100,1007,True,2021-03-16 07:20:38,R_3Rt4keKNspfLR7v,NA,NA,NA,NA,26.5355072021484375,-80.10980224609375,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",1,4,6,5,3,2,8,7,0,0,186.3,0,2,1,3,4,7,5,8,6,0,0,70.91,0,Yes,Adventurous,No,No,Staying in and watching TV shows,Savory,4,1,3,2,5,8,7,6,46.484,50.392,90.364,2,Extremely important,Very worried,A moderate amount,A great deal,The desire to help enact effective policy legislation that will help  respond to climate change.  The important factor is that CCL is highly focused on advocating for a specific National Policy to reduce Carbon Fuel use.,Yes.  Always encouraged to contribute in any way that I can,77,"$25,001 - $35,000",Male,NA,White / Caucasian,NA,NA,Very liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,16.783333333333335
2021-03-16,07:18:18,2021-03-16 07:25:16,IP Address,174.197.203.131,100,417,True,2021-03-16 07:25:16,R_3NJTr2B6bNeDg4C,NA,NA,NA,NA,42.811492919921875,-73.864898681640625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",8,4,7,6,2,3,5,1,2.544,34.425,35.57,8,5,2,7,1,3,6,4,8,1.53,23.693,24.865,7,No,Adventurous,No,No,Camping,Savory,2,3,1,5,4,6,7,8,9.52,28.217,29.654,11,Extremely important,Very worried,A moderate amount,A great deal,I work in social/human services and see the impact the climate crisis has on our most vulnerable communities. The earth is my home and we need to make drastic changes to ensure its existence for all.,Yes! I've enjoyed it so far. I wish I could be more involved and will as time progresses and my schedule allows.,29,"$35,001 - $50,000",Female,NA,White / Caucasian,NA,NA,Very liberal,Democrat,NA,Not Very Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,6.95
2021-03-16,07:22:05,2021-03-16 07:36:05,IP Address,74.215.125.165,100,839,True,2021-03-16 07:36:05,R_A0ySAS4esatGRup,NA,NA,NA,NA,39.07049560546875,-84.51599884033203125,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",5,7,8,6,4,2,1,3,179.461,179.461,181.189,1,4,3,2,1,5,6,8,7,74.877,74.877,76.964,1,Yes,Adventurous,Yes,No,Staying in and watching TV shows,Savory,5,4,1,2,3,7,8,6,0,0,85.788,0,Extremely important,Very worried,A great deal,A great deal,I was concerned about the possible collapse of civilization due to a changing climate.,"I have not been really active in the movement, but my limited experiences have been positive.",81,"$100,001 - $150,000",Male,NA,White / Caucasian,NA,NA,Very liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Similar,13.983333333333333
